,beta,tau
0,1.2102230246251566e-15,0.013454786685663345
1,1.2102230246251566e-15,0.013454786685663345
2,1.2102230246251566e-15,0.013454786685663345
3,1.2102230246251566e-15,0.013454786685663345
4,1.2102230246251566e-15,0.013454786685663345
5,1.2102230246251566e-15,0.013454786685663345
6,1.2102230246251566e-15,0.013454786685663345
7,1.2102230246251566e-15,0.013454786685663345
8,1.2102230246251566e-15,0.013454786685663345
9,1.2102230246251566e-15,0.013454786685663345
10,1.2102230246251566e-15,0.013454786685663345
