,tau
0,0.0988004630034368
1,0.0988004630034368
2,0.0988004630034368
3,0.0988004630034368
4,0.0988004630034368
5,0.0988004630034368
6,0.0988004630034368
7,0.0988004630034368
8,0.0988004630034368
9,0.0988004630034368
10,0.0988004630034368
