,beta,tau,theta
0,9.999999999998021,9.999999999994236,9.442831547976738
1,9.999999999998021,9.999999999994236,9.442831547976738
2,9.999999999998021,9.999999999994236,9.442831547976738
3,9.999999999998021,9.999999999994236,9.442831547976738
4,9.999999999998021,9.999999999994236,9.442831547976738
5,9.999999999998021,9.999999999994236,9.442831547976738
6,9.999999999998021,9.999999999994236,9.442831547976738
7,9.999999999998021,9.999999999994236,9.442831547976738
8,9.999999999998021,9.999999999994236,9.442831547976738
9,9.999999999998021,9.999999999994236,9.442831547976738
10,9.999999999998021,9.999999999994236,9.442831547976738
