,beta,tau
0,6.551115123125783e-16,0.013820716218935315
1,6.551115123125783e-16,0.013820716218935315
2,6.551115123125783e-16,0.013820716218935315
3,6.551115123125783e-16,0.013820716218935315
4,6.551115123125783e-16,0.013820716218935315
5,6.551115123125783e-16,0.013820716218935315
6,6.551115123125783e-16,0.013820716218935315
7,6.551115123125783e-16,0.013820716218935315
8,6.551115123125783e-16,0.013820716218935315
9,6.551115123125783e-16,0.013820716218935315
10,6.551115123125783e-16,0.013820716218935315
