,tau,theta
0,0.029960302135085926,5.680278014699161e-09
1,0.029960302135085926,5.680278014699161e-09
2,0.029960302135085926,5.680278014699161e-09
3,0.029960302135085926,5.680278014699161e-09
4,0.029960302135085926,5.680278014699161e-09
5,0.029960302135085926,5.680278014699161e-09
6,0.029960302135085926,5.680278014699161e-09
7,0.029960302135085926,5.680278014699161e-09
8,0.029960302135085926,5.680278014699161e-09
9,0.029960302135085926,5.680278014699161e-09
10,0.029960302135085926,5.680278014699161e-09
