,beta,tau,length
0,4.460421001431567e-12,0.05283740599495333,1.0728423837967886
1,4.460421001431567e-12,0.05283740599495333,1.0728423837967886
2,4.460421001431567e-12,0.05283740599495333,1.0728423837967886
3,4.460421001431567e-12,0.05283740599495333,1.0728423837967886
4,4.460421001431567e-12,0.05283740599495333,1.0728423837967886
5,4.460421001431567e-12,0.05283740599495333,1.0728423837967886
6,4.460421001431567e-12,0.05283740599495333,1.0728423837967886
7,4.460421001431567e-12,0.05283740599495333,1.0728423837967886
8,4.460421001431567e-12,0.05283740599495333,1.0728423837967886
9,4.460421001431567e-12,0.05283740599495333,1.0728423837967886
10,4.460421001431567e-12,0.05283740599495333,1.0728423837967886
