,beta,tau,length
0,2.5048306770080467e-10,8.703285474513097,1.2715042650787272
1,2.5048306770080467e-10,8.703285474513097,1.2715042650787272
2,2.5048306770080467e-10,8.703285474513097,1.2715042650787272
3,2.5048306770080467e-10,8.703285474513097,1.2715042650787272
4,2.5048306770080467e-10,8.703285474513097,1.2715042650787272
5,2.5048306770080467e-10,8.703285474513097,1.2715042650787272
6,2.5048306770080467e-10,8.703285474513097,1.2715042650787272
7,2.5048306770080467e-10,8.703285474513097,1.2715042650787272
8,2.5048306770080467e-10,8.703285474513097,1.2715042650787272
9,2.5048306770080467e-10,8.703285474513097,1.2715042650787272
10,2.5048306770080467e-10,8.703285474513097,1.2715042650787272
