,beta,tau
0,6.551115123125783e-16,0.013593423721558574
1,6.551115123125783e-16,0.013593423721558574
2,6.551115123125783e-16,0.013593423721558574
3,6.551115123125783e-16,0.013593423721558574
4,6.551115123125783e-16,0.013593423721558574
5,6.551115123125783e-16,0.013593423721558574
6,6.551115123125783e-16,0.013593423721558574
7,6.551115123125783e-16,0.013593423721558574
8,6.551115123125783e-16,0.013593423721558574
9,6.551115123125783e-16,0.013593423721558574
10,6.551115123125783e-16,0.013593423721558574
