,beta,tau,theta
0,0.048269001130336706,0.051571319384104516,2.480000539062305e-10
1,0.048269001130336706,0.051571319384104516,2.480000539062305e-10
2,0.048269001130336706,0.051571319384104516,2.480000539062305e-10
3,0.048269001130336706,0.051571319384104516,2.480000539062305e-10
4,0.048269001130336706,0.051571319384104516,2.480000539062305e-10
5,0.048269001130336706,0.051571319384104516,2.480000539062305e-10
6,0.048269001130336706,0.051571319384104516,2.480000539062305e-10
7,0.048269001130336706,0.051571319384104516,2.480000539062305e-10
8,0.048269001130336706,0.051571319384104516,2.480000539062305e-10
9,0.048269001130336706,0.051571319384104516,2.480000539062305e-10
10,0.048269001130336706,0.051571319384104516,2.480000539062305e-10
