,beta,tau,length
0,6.472362535614369e-10,0.4230415464513011,2.305987205723854
1,6.472362535614369e-10,0.4230415464513011,2.305987205723854
2,6.472362535614369e-10,0.4230415464513011,2.305987205723854
3,6.472362535614369e-10,0.4230415464513011,2.305987205723854
4,6.472362535614369e-10,0.4230415464513011,2.305987205723854
5,6.472362535614369e-10,0.4230415464513011,2.305987205723854
6,6.472362535614369e-10,0.4230415464513011,2.305987205723854
7,6.472362535614369e-10,0.4230415464513011,2.305987205723854
8,6.472362535614369e-10,0.4230415464513011,2.305987205723854
9,6.472362535614369e-10,0.4230415464513011,2.305987205723854
10,6.472362535614369e-10,0.4230415464513011,2.305987205723854
