,agent,id,environment,t,horizons,z
254,gpt,254,rough,0.2,5,46.83169023596792
255,gpt,255,rough,0.4,5,49.622387537614124
256,gpt,256,rough,0.6,5,55.19301018870368
257,gpt,257,rough,0.8,5,65.95052499993768
258,gpt,258,rough,0.0,5,66.51822886797903
259,gpt,259,rough,0.2,5,59.66701515839457
260,gpt,260,rough,0.4,5,31.566227108613685
261,gpt,261,rough,0.0,10,72.12147941473084
262,gpt,262,smooth,0.2,10,52.46578060419078
263,gpt,263,smooth,0.4,10,54.604298493254845
264,gpt,264,smooth,0.6,10,42.18139497679082
265,gpt,265,smooth,0.8,10,69.41326812719971
266,gpt,266,smooth,0.0,10,66.92411736457805
267,gpt,267,smooth,0.2,10,34.48959680564389
268,gpt,268,smooth,0.4,10,60.343065567888864
269,gpt,269,smooth,0.6,10,81.09010150144469
270,gpt,270,smooth,0.8,10,50.659215069991774
271,gpt,271,smooth,0.0,10,51.79830874299364
272,gpt,272,smooth,0.2,10,52.79409575080952
273,gpt,273,smooth,0.4,10,37.760311932215586
274,gpt,274,smooth,0.6,10,86.64402382746324
275,gpt,275,smooth,0.8,10,73.12214479992043
276,gpt,276,smooth,0.0,10,45.530688173816436
277,gpt,277,smooth,0.2,10,34.06484856347613
278,gpt,278,smooth,0.4,10,90.29586267080005
279,gpt,279,smooth,0.6,10,29.74362228996564
280,gpt,280,smooth,0.8,10,85.58606023793608
281,gpt,281,smooth,0.0,10,82.92321438528224
282,gpt,282,smooth,0.2,10,66.50418363516157
283,gpt,283,smooth,0.4,10,60.94555488065989
284,gpt,284,smooth,0.6,10,83.005165036051
285,gpt,285,smooth,0.8,10,81.69195935578975
286,gpt,286,smooth,0.0,10,46.94713236953064
287,gpt,287,smooth,0.2,10,95.97063131126065
288,gpt,288,smooth,0.4,10,49.79067847565823
289,gpt,289,smooth,0.6,10,90.85448879856874
290,gpt,290,smooth,0.8,10,59.948010279049775
291,gpt,291,smooth,0.0,10,47.87350028193289
292,gpt,292,smooth,0.2,10,52.22142369936489
293,gpt,293,smooth,0.4,10,72.89004025196745
294,gpt,294,smooth,0.6,10,34.40250810836603
295,gpt,295,smooth,0.8,10,71.28549940655006
296,gpt,296,smooth,0.0,10,56.68566488179339
297,gpt,297,smooth,0.2,10,54.014154669273324
298,gpt,298,smooth,0.4,10,38.1525967184997
299,gpt,299,smooth,0.6,10,26.50427899157903
300,gpt,300,smooth,0.8,10,71.2572849564097
301,gpt,301,smooth,0.0,10,74.7317460394499
302,gpt,302,smooth,0.2,10,70.79218785295049
303,gpt,303,smooth,0.4,10,29.513456875469316
304,gpt,304,smooth,0.6,10,67.32438586659754
305,gpt,305,smooth,0.8,10,59.36691659623486
306,gpt,306,smooth,0.0,10,49.32318043133892
307,gpt,307,smooth,0.2,10,25.980538802092315
308,gpt,308,smooth,0.4,10,50.84466883688081
309,gpt,309,smooth,0.6,10,74.08786451728224
310,gpt,310,smooth,0.8,10,70.8687907001173
311,gpt,311,smooth,0.0,10,53.42682538278324
312,gpt,312,smooth,0.2,10,66.37613625871285
313,gpt,313,smooth,0.4,10,60.49684519927004
314,gpt,314,smooth,0.6,10,75.00415813071886
315,gpt,315,smooth,0.8,10,51.776613903593486
316,gpt,316,smooth,0.0,10,86.64402382746324
317,gpt,317,smooth,0.2,10,47.536481920898815
318,gpt,318,smooth,0.4,10,52.30832208778886
319,gpt,319,smooth,0.6,10,32.10554435762753
320,gpt,320,smooth,0.8,10,53.58973791271801
321,gpt,321,smooth,0.0,10,58.37007454808081
322,gpt,322,smooth,0.2,10,64.06033060479903
323,gpt,323,smooth,0.4,10,67.71797435026575
324,gpt,324,smooth,0.6,10,88.86801002518618
325,gpt,325,smooth,0.8,10,71.1913857142964
326,gpt,326,smooth,0.0,10,55.35179707093773
327,gpt,327,smooth,0.2,10,46.97930487511571
328,gpt,328,smooth,0.4,10,58.91136439330349
329,gpt,329,smooth,0.6,10,85.13691376755025
330,gpt,330,smooth,0.8,10,32.74511888078145
331,gpt,331,smooth,0.0,10,80.654855732461
332,gpt,332,smooth,0.2,10,81.70847418640193
333,gpt,333,smooth,0.4,10,71.04197666234296
334,gpt,334,smooth,0.6,10,28.13743739264171
335,gpt,335,smooth,0.8,10,66.48757443703866
336,gpt,336,smooth,0.0,10,22.55399532281671
337,gpt,337,smooth,0.2,10,81.4907772784423
338,gpt,338,smooth,0.4,10,32.428014658770216
339,gpt,339,smooth,0.6,10,66.69408122909793
340,gpt,340,smooth,0.8,10,60.835497626945354
341,gpt,341,smooth,0.0,10,43.52744199952674
342,gpt,342,smooth,0.2,10,80.80805159806982
343,gpt,343,smooth,0.4,10,65.16320293772819
344,gpt,344,smooth,0.6,10,48.66110167526047
345,gpt,345,smooth,0.8,10,52.16718408850113
346,gpt,346,smooth,0.0,10,52.20424930776919
347,gpt,347,smooth,0.2,10,93.37699326938814
348,gpt,348,smooth,0.4,10,68.52483791263798
349,gpt,349,smooth,0.6,10,65.78335915661911
350,gpt,350,smooth,0.8,10,24.05182727221336
351,gpt,351,smooth,0.0,10,80.52348214817947
352,gpt,352,smooth,0.2,10,23.001938355877257
353,gpt,353,smooth,0.4,10,45.741585313644
354,gpt,354,smooth,0.6,10,53.214853562251214
355,gpt,355,smooth,0.8,10,31.021840247399222
356,gpt,356,smooth,0.0,10,72.89004025196745
357,gpt,357,smooth,0.2,10,83.43054468821082
358,gpt,358,smooth,0.4,10,55.63588245232774
359,gpt,359,smooth,0.6,10,58.9490379929958
360,gpt,360,smooth,0.8,10,70.73953025333759
361,gpt,361,smooth,0.0,10,58.759368412336556
362,gpt,362,smooth,0.2,5,30.81923434433222
363,gpt,363,smooth,0.4,5,52.45624453850282
364,gpt,364,smooth,0.6,5,61.74351941784024
365,gpt,365,smooth,0.8,5,48.640908864869665
366,gpt,366,smooth,0.0,5,80.39725613745172
367,gpt,367,smooth,0.2,5,35.906766462788376
368,gpt,368,smooth,0.4,5,64.69374633477214
369,gpt,369,smooth,0.6,5,49.70112326774095
370,gpt,370,smooth,0.8,5,44.32268274486392
371,gpt,371,smooth,0.0,5,72.31273679843154
372,gpt,372,smooth,0.2,5,85.37505832850361
373,gpt,373,smooth,0.4,5,45.359286996934316
374,gpt,374,smooth,0.6,5,50.54513013970983
375,gpt,375,smooth,0.8,5,42.917607171760494
376,gpt,376,smooth,0.0,5,70.77015875659379
377,gpt,377,smooth,0.2,5,32.418251361668275
378,gpt,378,smooth,0.4,5,88.16625395649099
379,gpt,379,smooth,0.6,5,56.806562857853386
380,gpt,380,smooth,0.8,5,86.5953041088198
381,gpt,381,smooth,0.0,5,46.63237593598236
382,gpt,382,smooth,0.2,5,48.36300097394621
383,gpt,383,smooth,0.4,5,92.73821277330404
384,gpt,384,smooth,0.6,5,36.123693133741874
385,gpt,385,smooth,0.8,5,50.33599990512988
386,gpt,386,smooth,0.0,5,37.862837345115075
387,gpt,387,smooth,0.2,5,71.85003137877943
388,gpt,388,smooth,0.4,5,60.41950098782368
389,gpt,389,smooth,0.6,5,90.10665035364593
390,gpt,390,smooth,0.8,5,87.21542298266174
391,gpt,391,smooth,0.0,5,40.22199004970849
392,gpt,392,smooth,0.2,5,45.430197214071406
393,gpt,393,smooth,0.4,5,29.87526625272656
394,gpt,394,smooth,0.6,5,54.80936379918856
395,gpt,395,smooth,0.8,5,80.92424072018859
396,gpt,396,smooth,0.0,5,80.39725613745172
397,gpt,397,smooth,0.2,5,80.78632479351639
398,gpt,398,smooth,0.4,5,57.968811521601914
399,gpt,399,smooth,0.6,5,61.41037304209465
400,gpt,400,smooth,0.8,5,89.95902930956845
401,gpt,401,smooth,0.0,5,65.1537643884861
402,gpt,402,smooth,0.2,5,81.64977129778993
403,gpt,403,smooth,0.4,5,50.31684478257292
404,gpt,404,smooth,0.6,5,72.11461678662492
405,gpt,405,smooth,0.8,5,66.78291247969595
406,gpt,406,smooth,0.0,5,50.33599990512988
407,gpt,407,smooth,0.2,5,51.79357894342299
408,gpt,408,smooth,0.4,5,23.944833582939882
409,gpt,409,smooth,0.6,5,83.26545216930081
410,gpt,410,smooth,0.8,5,59.70769132021735
411,gpt,411,smooth,0.0,5,65.57223303391459
412,gpt,412,smooth,0.2,5,35.599639019051
413,gpt,413,smooth,0.4,5,65.66480374858718
414,gpt,414,smooth,0.6,5,30.088480666109913
415,gpt,415,smooth,0.8,5,50.91278550397135
416,gpt,416,smooth,0.0,5,56.353199798148495
417,gpt,417,smooth,0.2,5,69.85277830134969
418,gpt,418,smooth,0.4,5,75.38128060953137
419,gpt,419,smooth,0.6,5,46.41123315030106
420,gpt,420,smooth,0.8,5,73.98437212119465
421,gpt,421,smooth,0.0,5,57.49904623237264
422,gpt,422,smooth,0.2,5,79.12135631112788
423,gpt,423,smooth,0.4,5,55.898175041125654
424,gpt,424,smooth,0.6,5,55.0032080126835
425,gpt,425,smooth,0.8,5,52.00632217790945
426,gpt,426,smooth,0.0,5,42.10359208299226
427,gpt,427,smooth,0.2,5,23.96991411665911
428,gpt,428,smooth,0.4,5,22.379261916811732
429,gpt,429,smooth,0.6,5,37.076717728167324
430,gpt,430,smooth,0.8,5,30.326114309802815
431,gpt,431,smooth,0.0,5,43.524451927180884
432,gpt,432,smooth,0.2,5,86.72000260564111
433,gpt,433,smooth,0.4,5,52.62166113324492
434,gpt,434,smooth,0.6,5,55.89791278692321
435,gpt,435,smooth,0.8,5,82.39254730652608
436,gpt,436,smooth,0.0,5,75.4111823750877
437,gpt,437,smooth,0.2,5,56.59495260731686
438,gpt,438,smooth,0.4,5,8.668558750487238
439,gpt,439,smooth,0.6,5,57.48093256718247
440,gpt,440,smooth,0.8,5,73.57136771252392
441,gpt,441,smooth,0.0,5,59.250978009271456
442,gpt,442,smooth,0.2,5,66.60899358394958
443,gpt,443,smooth,0.4,5,48.23111607376248
444,gpt,444,smooth,0.6,5,11.32436393005145
445,gpt,445,smooth,0.8,5,23.786356304418803
446,gpt,446,smooth,0.0,5,69.14420182718005
447,gpt,447,smooth,0.2,5,48.36300097394621
448,gpt,448,smooth,0.4,5,61.339169946014856
449,gpt,449,smooth,0.6,5,44.38272291289821
450,gpt,450,smooth,0.8,5,57.457123742644605
451,gpt,451,smooth,0.0,5,38.128525920921625
452,gpt,452,smooth,0.2,5,47.258159119405015
453,gpt,453,smooth,0.4,5,89.46146221182444
454,gpt,454,smooth,0.6,5,62.098888105670795
455,gpt,455,smooth,0.8,5,74.53337001628279
456,gpt,456,smooth,0.0,5,54.26402686934472
457,gpt,457,smooth,0.2,5,67.22209388893565
458,gpt,458,smooth,0.4,5,87.15498803503182
459,gpt,459,smooth,0.6,5,47.258159119405015
460,gpt,460,smooth,0.8,5,68.58382837690138
461,gpt,461,smooth,0.0,5,76.31583836850497
462,human,8,rough,100.0,5,58.916666666666664
463,human,8,rough,100.0,10,55.03409090909091
464,human,9,rough,100.0,5,60.416666666666664
465,human,9,rough,100.0,10,57.73863636363637
466,human,10,smooth,100.0,5,69.35416666666667
467,human,10,smooth,100.0,10,74.11363636363636
468,human,14,rough,100.0,5,69.3125
469,human,14,rough,100.0,10,71.82954545454545
470,human,15,rough,100.0,5,55.041666666666664
471,human,15,rough,100.0,10,78.7159090909091
472,human,16,smooth,100.0,5,61.375
473,human,16,smooth,100.0,10,65.77272727272727
474,human,17,smooth,100.0,5,65.5625
475,human,17,smooth,100.0,10,62.38636363636363
476,human,22,rough,100.0,5,52.958333333333336
477,human,22,rough,100.0,10,62.625
478,human,23,smooth,100.0,5,64.4375
479,human,23,smooth,100.0,10,64.04545454545455
480,human,24,smooth,100.0,5,67.66666666666667
481,human,24,smooth,100.0,10,65.70454545454545
482,human,29,rough,100.0,5,60.479166666666664
483,human,29,rough,100.0,10,61.68181818181818
484,human,30,rough,100.0,5,54.083333333333336
485,human,30,rough,100.0,10,52.03409090909091
486,human,31,smooth,100.0,5,72.10416666666667
487,human,31,smooth,100.0,10,62.97727272727273
488,human,32,smooth,100.0,5,59.979166666666664
489,human,32,smooth,100.0,10,55.625
490,human,37,rough,100.0,5,63.416666666666664
491,human,37,rough,100.0,10,76.01136363636364
492,human,38,rough,100.0,5,50.854166666666664
493,human,38,rough,100.0,10,69.0
494,human,39,smooth,100.0,5,59.9375
495,human,39,smooth,100.0,10,69.79545454545455
496,human,40,smooth,100.0,5,69.125
497,human,40,smooth,100.0,10,66.26136363636364
498,human,45,rough,100.0,5,58.479166666666664
499,human,45,rough,100.0,10,53.625
500,human,46,smooth,100.0,5,53.083333333333336
501,human,46,smooth,100.0,10,61.38636363636363
502,human,51,rough,100.0,5,67.6875
503,human,51,rough,100.0,10,76.48863636363636
504,human,52,rough,100.0,5,63.270833333333336
505,human,52,rough,100.0,10,78.0909090909091
506,human,53,smooth,100.0,5,63.583333333333336
507,human,53,smooth,100.0,10,62.25
508,human,58,rough,100.0,5,60.5625
509,human,58,rough,100.0,10,54.73863636363637
510,human,59,rough,100.0,5,56.791666666666664
511,human,59,rough,100.0,10,57.94318181818182
512,human,60,smooth,100.0,5,65.22916666666667
513,human,60,smooth,100.0,10,79.07954545454545
514,human,61,smooth,100.0,5,64.4375
515,human,61,smooth,100.0,10,62.23863636363637
516,human,66,rough,100.0,5,70.22916666666667
517,human,66,rough,100.0,10,68.79545454545455
518,human,67,smooth,100.0,5,69.5625
519,human,67,smooth,100.0,10,59.13636363636363
520,human,68,smooth,100.0,5,73.60416666666667
521,human,68,smooth,100.0,10,78.73863636363636
522,human,73,rough,100.0,5,71.75
523,human,73,rough,100.0,10,76.18181818181819
524,human,74,rough,100.0,5,53.104166666666664
525,human,74,rough,100.0,10,60.89772727272727
526,human,75,smooth,100.0,5,71.35416666666667
527,human,75,smooth,100.0,10,64.4090909090909
528,human,76,smooth,100.0,5,64.64583333333333
529,human,76,smooth,100.0,10,60.45454545454545
530,human,84,smooth,100.0,5,60.020833333333336
531,human,84,smooth,100.0,10,67.55681818181819
532,human,86,smooth,100.0,5,75.9375
533,human,86,smooth,100.0,10,59.78409090909091
