,trials,x,z,kernel,environment,agent,grid,horizons
0,3,4,34.50315609830117,2,smooth,random,1,5
0,4,6,0.0,2,smooth,random,1,5
0,5,2,75.19277778781661,2,smooth,random,1,5
0,1,14,42.52307936064417,2,smooth,random,2,5
0,2,29,21.474851627711782,2,smooth,random,2,5
0,3,15,49.32081743106003,2,smooth,random,2,5
0,4,14,42.52307936064417,2,smooth,random,2,5
0,5,7,26.15081966665483,2,smooth,random,2,5
0,1,21,48.81188972560852,2,smooth,random,3,5
0,2,6,0.0,2,smooth,random,3,5
0,3,28,36.52693076202102,2,smooth,random,3,5
0,4,13,30.27283087901141,2,smooth,random,3,5
0,5,17,30.728195113607203,2,smooth,random,3,5
0,1,14,42.52307936064417,2,smooth,random,4,5
0,2,14,42.52307936064417,2,smooth,random,4,5
0,3,22,44.586253459688166,2,smooth,random,4,5
0,4,0,100.0,2,smooth,random,4,5
0,5,24,14.290804909148216,2,smooth,random,4,5
0,1,5,6.872885669038592,2,smooth,random,5,5
0,2,3,55.91864332856966,2,smooth,random,5,5
0,3,0,100.0,2,smooth,random,5,5
0,4,19,6.581116173051349,2,smooth,random,5,5
0,5,4,34.50315609830117,2,smooth,random,5,5
0,1,26,26.694977333335434,2,smooth,random,6,5
0,2,5,6.872885669038592,2,smooth,random,6,5
0,3,11,8.939921856894497,2,smooth,random,6,5
0,4,22,44.586253459688166,2,smooth,random,6,5
0,5,8,55.503678119346134,2,smooth,random,6,5
0,1,8,55.503678119346134,2,smooth,random,7,5
0,2,28,36.52693076202102,2,smooth,random,7,5
0,3,24,14.290804909148216,2,smooth,random,7,5
0,4,19,6.581116173051349,2,smooth,random,7,5
0,5,9,56.12393752927937,2,smooth,random,7,5
0,1,20,29.082903825359253,2,smooth,random,8,5
0,2,8,55.503678119346134,2,smooth,random,8,5
0,3,21,48.81188972560852,2,smooth,random,8,5
0,4,13,30.27283087901141,2,smooth,random,8,5
0,5,29,21.474851627711782,2,smooth,random,8,5
0,1,27,36.844793501629276,2,smooth,random,9,5
0,2,7,26.15081966665483,2,smooth,random,9,5
0,3,1,99.66825909787983,2,smooth,random,9,5
0,4,3,55.91864332856966,2,smooth,random,9,5
0,5,15,49.32081743106003,2,smooth,random,9,5
0,1,2,11.65716466853656,3,smooth,random,0,5
0,2,5,32.556600060833,3,smooth,random,0,5
0,3,18,34.630916848469404,3,smooth,random,0,5
0,4,24,15.257566868399438,3,smooth,random,0,5
0,5,24,15.257566868399438,3,smooth,random,0,5
0,1,23,1.775823218170133,3,smooth,random,1,5
0,2,20,43.00722619829549,3,smooth,random,1,5
0,3,17,3.604930644436439,3,smooth,random,1,5
0,4,6,48.384174542009035,3,smooth,random,1,5
0,5,4,18.19915923625533,3,smooth,random,1,5
0,1,0,2.191431992788317,3,smooth,random,2,5
0,2,10,58.74241834067454,3,smooth,random,2,5
0,3,15,30.196938687068165,3,smooth,random,2,5
0,4,15,30.196938687068165,3,smooth,random,2,5
0,5,3,12.480572584257118,3,smooth,random,2,5
0,1,10,58.74241834067454,3,smooth,random,3,5
0,2,23,1.775823218170133,3,smooth,random,3,5
0,3,24,15.257566868399438,3,smooth,random,3,5
0,4,10,58.74241834067454,3,smooth,random,3,5
0,5,6,48.384174542009035,3,smooth,random,3,5
0,1,22,0.0,3,smooth,random,4,5
0,2,10,58.74241834067454,3,smooth,random,4,5
0,3,12,99.19972861188785,3,smooth,random,4,5
0,4,10,58.74241834067454,3,smooth,random,4,5
0,5,5,32.556600060833,3,smooth,random,4,5
0,1,10,58.74241834067454,3,smooth,random,5,5
0,2,24,15.257566868399438,3,smooth,random,5,5
0,3,20,43.00722619829549,3,smooth,random,5,5
0,4,29,30.69719129247653,3,smooth,random,5,5
0,5,9,50.970579001907325,3,smooth,random,5,5
0,1,14,71.91083789731377,3,smooth,random,6,5
0,2,29,30.69719129247653,3,smooth,random,6,5
0,3,10,58.74241834067454,3,smooth,random,6,5
0,4,7,54.10218126304285,3,smooth,random,6,5
0,5,16,0.045176698423515335,3,smooth,random,6,5
0,1,8,51.68658078739134,3,smooth,random,7,5
0,2,0,2.191431992788317,3,smooth,random,7,5
0,3,12,99.19972861188785,3,smooth,random,7,5
0,4,27,25.837550963681732,3,smooth,random,7,5
0,5,22,0.0,3,smooth,random,7,5
0,1,24,15.257566868399438,3,smooth,random,8,5
0,2,5,32.556600060833,3,smooth,random,8,5
0,3,7,54.10218126304285,3,smooth,random,8,5
0,4,29,30.69719129247653,3,smooth,random,8,5
0,5,28,30.602578914275785,3,smooth,random,8,5
0,1,18,34.630916848469404,3,smooth,random,9,5
0,2,21,16.64920410086617,3,smooth,random,9,5
0,3,17,3.604930644436439,3,smooth,random,9,5
0,4,29,30.69719129247653,3,smooth,random,9,5
0,5,14,71.91083789731377,3,smooth,random,9,5
0,1,9,96.27087057053812,4,smooth,random,0,5
0,2,23,94.10162889103971,4,smooth,random,0,5
0,3,22,100.0,4,smooth,random,0,5
0,4,21,95.78787818179191,4,smooth,random,0,5
0,5,23,94.10162889103971,4,smooth,random,0,5
0,1,16,8.180203876563793,4,smooth,random,1,5
0,2,8,93.06357241636537,4,smooth,random,1,5
0,3,16,8.180203876563793,4,smooth,random,1,5
0,4,9,96.27087057053812,4,smooth,random,1,5
0,5,0,75.17646587552359,4,smooth,random,1,5
0,1,15,0.0,4,smooth,random,2,5
0,2,11,58.40401571584607,4,smooth,random,2,5
0,3,25,59.26501115380347,4,smooth,random,2,5
0,4,15,0.0,4,smooth,random,2,5
0,5,3,87.34676865692808,4,smooth,random,2,5
0,1,10,84.51575500084888,4,smooth,random,3,5
0,2,20,86.88362420758847,4,smooth,random,3,5
0,3,9,96.27087057053812,4,smooth,random,3,5
0,4,13,17.838060453126626,4,smooth,random,3,5
0,5,20,86.88362420758847,4,smooth,random,3,5
0,1,28,34.428149063640745,4,smooth,random,4,5
0,2,7,84.43710352090429,4,smooth,random,4,5
0,3,1,75.43282218940647,4,smooth,random,4,5
0,4,5,67.6426277309128,4,smooth,random,4,5
0,5,8,93.06357241636537,4,smooth,random,4,5
0,1,3,87.34676865692808,4,smooth,random,5,5
0,2,6,73.66278377623541,4,smooth,random,5,5
0,3,25,59.26501115380347,4,smooth,random,5,5
0,4,25,59.26501115380347,4,smooth,random,5,5
0,5,9,96.27087057053812,4,smooth,random,5,5
0,1,0,75.17646587552359,4,smooth,random,6,5
0,2,10,84.51575500084888,4,smooth,random,6,5
0,3,5,67.6426277309128,4,smooth,random,6,5
0,4,15,0.0,4,smooth,random,6,5
0,5,19,75.2383702765443,4,smooth,random,6,5
0,1,22,100.0,4,smooth,random,7,5
0,2,20,86.88362420758847,4,smooth,random,7,5
0,3,11,58.40401571584607,4,smooth,random,7,5
0,4,18,56.690890720878976,4,smooth,random,7,5
0,5,12,33.594874634695266,4,smooth,random,7,5
0,1,19,75.2383702765443,4,smooth,random,8,5
0,2,13,17.838060453126626,4,smooth,random,8,5
0,3,1,75.43282218940647,4,smooth,random,8,5
0,4,26,41.26936849382544,4,smooth,random,8,5
0,5,11,58.40401571584607,4,smooth,random,8,5
0,1,20,86.88362420758847,4,smooth,random,9,5
0,2,9,96.27087057053812,4,smooth,random,9,5
0,3,14,6.362688617576717,4,smooth,random,9,5
0,4,25,59.26501115380347,4,smooth,random,9,5
0,5,10,84.51575500084888,4,smooth,random,9,5
0,1,29,62.66856005146072,5,smooth,random,0,5
0,2,29,62.66856005146072,5,smooth,random,0,5
0,3,21,35.60507235584851,5,smooth,random,0,5
0,4,24,52.590824174875785,5,smooth,random,0,5
0,5,4,31.423280480018622,5,smooth,random,0,5
0,1,11,40.46225766933707,5,smooth,random,1,5
0,2,19,76.81408314549178,5,smooth,random,1,5
0,3,13,80.66510885903006,5,smooth,random,1,5
0,4,15,100.0,5,smooth,random,1,5
0,5,24,52.590824174875785,5,smooth,random,1,5
0,1,7,26.07077777486002,5,smooth,random,2,5
0,2,24,52.590824174875785,5,smooth,random,2,5
0,3,10,10.694197164535877,5,smooth,random,2,5
0,4,29,62.66856005146072,5,smooth,random,2,5
0,5,27,48.78317157597517,5,smooth,random,2,5
0,1,19,76.81408314549178,5,smooth,random,3,5
0,2,2,73.25116047659237,5,smooth,random,3,5
0,3,2,73.25116047659237,5,smooth,random,3,5
0,4,4,31.423280480018622,5,smooth,random,3,5
0,5,22,37.9418039981813,5,smooth,random,3,5
0,1,23,47.48094152059112,5,smooth,random,4,5
0,2,5,37.00040274140534,5,smooth,random,4,5
0,3,1,92.43180579894985,5,smooth,random,4,5
0,4,27,48.78317157597517,5,smooth,random,4,5
0,5,23,47.48094152059112,5,smooth,random,4,5
0,1,26,47.634595483277714,5,smooth,random,5,5
0,2,28,50.92369307182406,5,smooth,random,5,5
0,3,11,40.46225766933707,5,smooth,random,5,5
0,4,19,76.81408314549178,5,smooth,random,5,5
0,5,29,62.66856005146072,5,smooth,random,5,5
0,1,3,44.74638414615687,5,smooth,random,6,5
0,2,14,92.78332348267992,5,smooth,random,6,5
0,3,15,100.0,5,smooth,random,6,5
0,4,3,44.74638414615687,5,smooth,random,6,5
0,5,20,52.02432902178524,5,smooth,random,6,5
0,1,0,86.28498230877251,5,smooth,random,7,5
0,2,2,73.25116047659237,5,smooth,random,7,5
0,3,1,92.43180579894985,5,smooth,random,7,5
0,4,24,52.590824174875785,5,smooth,random,7,5
0,5,11,40.46225766933707,5,smooth,random,7,5
0,1,18,85.94161732966201,5,smooth,random,8,5
0,2,0,86.28498230877251,5,smooth,random,8,5
0,3,3,44.74638414615687,5,smooth,random,8,5
0,4,15,100.0,5,smooth,random,8,5
0,5,10,10.694197164535877,5,smooth,random,8,5
0,1,17,84.34482639098503,5,smooth,random,9,5
0,2,24,52.590824174875785,5,smooth,random,9,5
0,3,10,10.694197164535877,5,smooth,random,9,5
0,4,11,40.46225766933707,5,smooth,random,9,5
0,5,3,44.74638414615687,5,smooth,random,9,5
0,1,20,0.9104776997389548,6,smooth,random,0,5
0,2,18,10.140121103991097,6,smooth,random,0,5
0,3,3,34.50370851743958,6,smooth,random,0,5
0,4,4,46.653471435577636,6,smooth,random,0,5
0,5,24,57.651218084571596,6,smooth,random,0,5
0,1,18,10.140121103991097,6,smooth,random,1,5
0,2,8,6.296905374828676,6,smooth,random,1,5
0,3,17,32.52517192907896,6,smooth,random,1,5
0,4,3,34.50370851743958,6,smooth,random,1,5
0,5,7,9.898925781577663,6,smooth,random,1,5
0,1,15,86.6669072449778,6,smooth,random,2,5
0,2,2,15.546655232452174,6,smooth,random,2,5
0,3,22,18.354177247738075,6,smooth,random,2,5
0,4,5,38.831563190634455,6,smooth,random,2,5
0,5,5,38.831563190634455,6,smooth,random,2,5
0,1,23,39.34433338856733,6,smooth,random,3,5
0,2,18,10.140121103991097,6,smooth,random,3,5
0,3,24,57.651218084571596,6,smooth,random,3,5
0,4,3,34.50370851743958,6,smooth,random,3,5
0,5,27,31.323415583706517,6,smooth,random,3,5
0,1,22,18.354177247738075,6,smooth,random,4,5
0,2,17,32.52517192907896,6,smooth,random,4,5
0,3,17,32.52517192907896,6,smooth,random,4,5
0,4,16,60.92135904892688,6,smooth,random,4,5
0,5,14,100.0,6,smooth,random,4,5
0,1,19,0.0,6,smooth,random,5,5
0,2,7,9.898925781577663,6,smooth,random,5,5
0,3,12,74.89054898283982,6,smooth,random,5,5
0,4,1,6.644448639617807,6,smooth,random,5,5
0,5,12,74.89054898283982,6,smooth,random,5,5
0,1,29,21.645664534554314,6,smooth,random,6,5
0,2,28,26.83729723625874,6,smooth,random,6,5
0,3,5,38.831563190634455,6,smooth,random,6,5
0,4,19,0.0,6,smooth,random,6,5
0,5,22,18.354177247738075,6,smooth,random,6,5
0,1,20,0.9104776997389548,6,smooth,random,7,5
0,2,25,57.88666370012401,6,smooth,random,7,5
0,3,14,100.0,6,smooth,random,7,5
0,4,2,15.546655232452174,6,smooth,random,7,5
0,5,29,21.645664534554314,6,smooth,random,7,5
0,1,27,31.323415583706517,6,smooth,random,8,5
0,2,3,34.50370851743958,6,smooth,random,8,5
0,3,5,38.831563190634455,6,smooth,random,8,5
0,4,19,0.0,6,smooth,random,8,5
0,5,19,0.0,6,smooth,random,8,5
0,1,20,0.9104776997389548,6,smooth,random,9,5
0,2,9,8.884411520956448,6,smooth,random,9,5
0,3,5,38.831563190634455,6,smooth,random,9,5
0,4,15,86.6669072449778,6,smooth,random,9,5
0,5,27,31.323415583706517,6,smooth,random,9,5
0,1,6,89.584749678419,7,smooth,random,0,5
0,2,10,79.51933173526722,7,smooth,random,0,5
0,3,29,52.279524294654166,7,smooth,random,0,5
0,4,16,16.4529238752689,7,smooth,random,0,5
0,5,26,77.98297914266749,7,smooth,random,0,5
0,1,28,54.956433135194246,7,smooth,random,1,5
0,2,29,52.279524294654166,7,smooth,random,1,5
0,3,16,16.4529238752689,7,smooth,random,1,5
0,4,14,51.10445752082378,7,smooth,random,1,5
0,5,18,47.36032432367002,7,smooth,random,1,5
0,1,26,77.98297914266749,7,smooth,random,2,5
0,2,17,34.585001600528,7,smooth,random,2,5
0,3,6,89.584749678419,7,smooth,random,2,5
0,4,16,16.4529238752689,7,smooth,random,2,5
0,5,20,15.904020537071187,7,smooth,random,2,5
0,1,19,38.000656713597635,7,smooth,random,3,5
0,2,13,83.46237548289484,7,smooth,random,3,5
0,3,21,0.0,7,smooth,random,3,5
0,4,22,4.929172473156425,7,smooth,random,3,5
0,5,17,34.585001600528,7,smooth,random,3,5
0,1,11,91.48230371180752,7,smooth,random,4,5
0,2,21,0.0,7,smooth,random,4,5
0,3,10,79.51933173526722,7,smooth,random,4,5
0,4,19,38.000656713597635,7,smooth,random,4,5
0,5,10,79.51933173526722,7,smooth,random,4,5
0,1,10,79.51933173526722,7,smooth,random,5,5
0,2,9,81.15362493052756,7,smooth,random,5,5
0,3,12,97.99585537977738,7,smooth,random,5,5
0,4,23,34.678761792195345,7,smooth,random,5,5
0,5,4,31.67871205620157,7,smooth,random,5,5
0,1,1,67.96114945409657,7,smooth,random,6,5
0,2,20,15.904020537071187,7,smooth,random,6,5
0,3,1,67.96114945409657,7,smooth,random,6,5
0,4,25,89.30266146657661,7,smooth,random,6,5
0,5,14,51.10445752082378,7,smooth,random,6,5
0,1,16,16.4529238752689,7,smooth,random,7,5
0,2,8,93.33634977012586,7,smooth,random,7,5
0,3,9,81.15362493052756,7,smooth,random,7,5
0,4,19,38.000656713597635,7,smooth,random,7,5
0,5,8,93.33634977012586,7,smooth,random,7,5
0,1,5,60.31464100826509,7,smooth,random,8,5
0,2,12,97.99585537977738,7,smooth,random,8,5
0,3,21,0.0,7,smooth,random,8,5
0,4,11,91.48230371180752,7,smooth,random,8,5
0,5,29,52.279524294654166,7,smooth,random,8,5
0,1,16,16.4529238752689,7,smooth,random,9,5
0,2,3,29.930784942058626,7,smooth,random,9,5
0,3,28,54.956433135194246,7,smooth,random,9,5
0,4,0,60.13699535658993,7,smooth,random,9,5
0,5,16,16.4529238752689,7,smooth,random,9,5
0,1,28,29.864282538004083,8,smooth,random,0,5
0,2,23,46.08276109320237,8,smooth,random,0,5
0,3,19,56.05055622713453,8,smooth,random,0,5
0,4,9,100.0,8,smooth,random,0,5
0,5,17,42.27234471605543,8,smooth,random,0,5
0,1,22,53.63882378941637,8,smooth,random,1,5
0,2,15,50.57996862989593,8,smooth,random,1,5
0,3,18,49.03239299446181,8,smooth,random,1,5
0,4,8,95.45863959984455,8,smooth,random,1,5
0,5,12,74.74229379171358,8,smooth,random,1,5
0,1,5,49.97156915379242,8,smooth,random,2,5
0,2,23,46.08276109320237,8,smooth,random,2,5
0,3,22,53.63882378941637,8,smooth,random,2,5
0,4,25,45.12938802853814,8,smooth,random,2,5
0,5,10,95.03491713282914,8,smooth,random,2,5
0,1,20,61.13177045644982,8,smooth,random,3,5
0,2,14,53.29920352532484,8,smooth,random,3,5
0,3,0,1.8928779447066284,8,smooth,random,3,5
0,4,10,95.03491713282914,8,smooth,random,3,5
0,5,10,95.03491713282914,8,smooth,random,3,5
0,1,11,85.72766181145714,8,smooth,random,4,5
0,2,10,95.03491713282914,8,smooth,random,4,5
0,3,23,46.08276109320237,8,smooth,random,4,5
0,4,13,61.28683763517736,8,smooth,random,4,5
0,5,28,29.864282538004083,8,smooth,random,4,5
0,1,14,53.29920352532484,8,smooth,random,5,5
0,2,15,50.57996862989593,8,smooth,random,5,5
0,3,9,100.0,8,smooth,random,5,5
0,4,28,29.864282538004083,8,smooth,random,5,5
0,5,7,83.42298616851657,8,smooth,random,5,5
0,1,7,83.42298616851657,8,smooth,random,6,5
0,2,21,62.19448101366961,8,smooth,random,6,5
0,3,26,35.57980950065754,8,smooth,random,6,5
0,4,15,50.57996862989593,8,smooth,random,6,5
0,5,1,0.0,8,smooth,random,6,5
0,1,14,53.29920352532484,8,smooth,random,7,5
0,2,6,66.91736922988369,8,smooth,random,7,5
0,3,24,47.55274241819322,8,smooth,random,7,5
0,4,20,61.13177045644982,8,smooth,random,7,5
0,5,17,42.27234471605543,8,smooth,random,7,5
0,1,6,66.91736922988369,8,smooth,random,8,5
0,2,17,42.27234471605543,8,smooth,random,8,5
0,3,24,47.55274241819322,8,smooth,random,8,5
0,4,11,85.72766181145714,8,smooth,random,8,5
0,5,12,74.74229379171358,8,smooth,random,8,5
0,1,12,74.74229379171358,8,smooth,random,9,5
0,2,15,50.57996862989593,8,smooth,random,9,5
0,3,3,24.14086480208501,8,smooth,random,9,5
0,4,4,36.714124555924,8,smooth,random,9,5
0,5,9,100.0,8,smooth,random,9,5
0,1,17,94.36044923667241,9,smooth,random,0,5
0,2,16,71.76450067071728,9,smooth,random,0,5
0,3,8,9.196763479439577,9,smooth,random,0,5
0,4,6,15.924531362378817,9,smooth,random,0,5
0,5,20,63.83660304939222,9,smooth,random,0,5
0,1,20,63.83660304939222,9,smooth,random,1,5
0,2,20,63.83660304939222,9,smooth,random,1,5
0,3,29,38.11134635652276,9,smooth,random,1,5
0,4,4,0.0,9,smooth,random,1,5
0,5,3,0.7861532272023986,9,smooth,random,1,5
0,1,1,38.48117572349038,9,smooth,random,2,5
0,2,28,66.20691335983739,9,smooth,random,2,5
0,3,26,45.50551418494139,9,smooth,random,2,5
0,4,29,38.11134635652276,9,smooth,random,2,5
0,5,26,45.50551418494139,9,smooth,random,2,5
0,1,15,36.86722568245623,9,smooth,random,3,5
