,agent,id,environment,t,z
122,per_gpt,122,smooth,0.4,66.96675918895686
123,per_gpt,123,smooth,0.6,69.59495804698071
124,per_gpt,124,smooth,0.8,65.8323295681374
125,per_gpt,125,smooth,0.0,43.06119085951969
126,per_gpt,126,smooth,1.0,33.09345344347007
127,per_gpt,127,smooth,0.2,75.51624266234862
128,per_gpt,128,smooth,0.4,55.706715813182655
129,per_gpt,129,smooth,0.6,76.50635523283937
130,per_gpt,130,smooth,0.8,73.63543309480973
131,per_gpt,131,smooth,0.0,65.18915569898654
132,per_gpt,132,smooth,1.0,72.34752296763024
133,per_gpt,133,smooth,0.2,66.4884983177696
134,per_gpt,134,smooth,0.4,31.972359421547438
135,per_gpt,135,smooth,0.6,49.15588306674372
136,per_gpt,136,smooth,0.8,60.71952074297558
137,per_gpt,137,smooth,0.0,69.83944881840422
138,per_gpt,138,smooth,1.0,91.25106190958144
139,per_gpt,139,smooth,0.2,49.56497628766419
140,per_gpt,140,smooth,0.4,48.87835137214126
141,per_gpt,141,smooth,0.6,44.728008078715675
142,per_gpt,142,smooth,0.8,46.97594437086959
143,per_gpt,143,smooth,0.0,33.953700607270655
144,per_gpt,144,smooth,1.0,72.5270560508701
145,per_gpt,145,smooth,0.2,27.943115174009836
146,per_gpt,146,smooth,0.4,29.74362228996564
147,per_gpt,147,smooth,0.6,42.475438846278045
148,per_gpt,148,smooth,0.8,46.51105680516653
149,per_gpt,149,smooth,0.0,57.12562596627565
150,per_gpt,150,rough,1.0,44.79237471894667
151,per_gpt,151,smooth,0.2,59.98526052209291
152,per_gpt,152,smooth,0.4,24.93706694426911
153,per_gpt,153,smooth,0.6,28.78001325658761
154,per_gpt,154,smooth,0.8,82.58849422419335
155,per_gpt,155,smooth,0.0,67.033397553708
156,per_gpt,156,smooth,1.0,86.3712752784827
157,per_gpt,157,smooth,0.2,78.10901745244968
158,per_gpt,158,smooth,0.4,60.02949000143482
159,per_gpt,159,smooth,0.6,51.10640555389134
160,per_gpt,160,smooth,0.8,53.24494382771272
161,per_gpt,161,smooth,0.0,59.25103405212717
162,per_gpt,162,smooth,1.0,42.982888054011596
163,per_gpt,163,smooth,0.2,37.120836155038155
164,per_gpt,164,smooth,0.4,48.10689144851938
165,per_gpt,165,smooth,0.6,61.83513278138819
166,per_gpt,166,smooth,0.8,72.22234828278364
167,per_gpt,167,smooth,0.0,67.22554339494276
168,per_gpt,168,smooth,1.0,75.23723281526831
169,per_gpt,169,smooth,0.2,58.82468894827861
170,per_gpt,170,smooth,0.4,53.13266829236421
171,per_gpt,171,smooth,0.6,65.16320293772819
172,per_gpt,172,smooth,0.8,48.85719853452019
173,per_gpt,173,smooth,0.0,45.84509025241479
174,per_gpt,174,rough,1.0,86.15962853911348
175,per_gpt,175,smooth,0.2,57.072574829000764
176,per_gpt,176,smooth,0.4,54.704472752172755
177,per_gpt,177,smooth,0.6,50.321123934294285
178,per_gpt,178,smooth,0.8,42.74605159534188
179,per_gpt,179,smooth,0.0,64.95666524165794
180,per_gpt,180,smooth,1.0,42.64261576765198
181,per_gpt,181,smooth,0.2,44.78811535032574
182,per_gpt,182,smooth,0.4,27.413240100969173
183,per_gpt,183,smooth,0.6,26.89331151478723
184,per_gpt,184,smooth,0.8,62.36628585669658
185,per_gpt,185,smooth,0.0,70.37559872057592
186,per_gpt,186,smooth,1.0,39.49731168069163
187,per_gpt,187,smooth,0.2,64.71821798806319
188,per_gpt,188,smooth,0.4,32.05380552629174
189,per_gpt,189,smooth,0.6,39.47824265777955
190,per_gpt,190,smooth,0.8,14.918369123260105
191,per_gpt,191,smooth,0.0,60.478789262130114
192,per_gpt,192,rough,1.0,55.822292421230365
193,per_gpt,193,smooth,0.2,51.05130427686342
194,per_gpt,194,smooth,0.4,49.264327924360934
195,per_gpt,195,smooth,0.6,48.58386678000078
196,per_gpt,196,smooth,0.8,54.32898238063254
197,per_gpt,197,smooth,0.0,71.47637496019776
198,per_gpt,198,rough,1.0,53.06952686778964
199,per_gpt,199,smooth,0.2,55.706715813182655
200,per_gpt,200,smooth,0.4,66.54801294477616
201,per_gpt,201,smooth,0.6,71.51573910111335
202,per_gpt,202,smooth,0.8,55.98112294882269
203,per_gpt,203,smooth,0.0,71.31273310832734
204,per_gpt,204,smooth,1.0,61.63033472535695
205,per_gpt,205,smooth,0.2,72.33348790381042
206,per_gpt,206,smooth,0.4,72.26626741269303
207,per_gpt,207,smooth,0.6,29.712019087798414
208,per_gpt,208,smooth,0.8,51.2033449603922
209,per_gpt,209,smooth,0.0,40.459791553686586
210,per_gpt,210,rough,1.0,33.4773436168435
211,per_gpt,211,smooth,0.2,37.120836155038155
212,per_gpt,212,smooth,0.4,72.6881406330968
213,per_gpt,213,smooth,0.6,53.43349578154457
214,per_gpt,214,smooth,0.8,36.09035162868175
215,per_gpt,215,smooth,0.0,65.47609963860633
216,per_gpt,216,rough,1.0,52.58167739871963
217,per_gpt,217,smooth,0.2,50.36350998641976
218,per_gpt,218,smooth,0.4,70.3106603528385
219,per_gpt,219,smooth,0.6,71.38324315373755
220,per_gpt,220,smooth,0.8,58.23340226043074
221,per_gpt,221,smooth,0.0,86.71236703736116
222,per_gpt,222,smooth,1.0,50.95610556369413
223,per_gpt,223,smooth,0.2,37.26042069603557
224,per_gpt,224,smooth,0.4,41.64824076989305
225,per_gpt,225,smooth,0.6,50.63178018060708
226,per_gpt,226,smooth,0.8,48.1004934290899
227,per_gpt,227,smooth,0.0,65.2559341376306
228,per_gpt,228,rough,1.0,57.99246675074189
229,per_gpt,229,smooth,0.2,61.56193638200136
230,per_gpt,230,smooth,0.4,28.018752328670804
231,per_gpt,231,smooth,0.6,56.060862798833064
232,per_gpt,232,smooth,0.8,75.55443566329667
233,per_gpt,233,smooth,0.0,61.82813356893655
234,per_gpt,234,smooth,1.0,79.09500018689666
235,per_gpt,235,smooth,0.2,57.22776678279531
236,per_gpt,236,smooth,0.4,57.072574829000764
237,per_gpt,237,smooth,0.6,40.94776417484416
238,per_gpt,238,smooth,0.8,54.059796645906346
239,per_gpt,239,smooth,0.0,47.48325347410502
240,per_gpt,240,rough,1.0,59.45254026567511
241,per_gpt,241,smooth,0.2,59.38620751665317
242,per_gpt,242,smooth,0.4,58.82468894827861
243,per_gpt,243,smooth,0.6,58.82468894827861
244,per_gpt,244,smooth,0.8,36.26203620835241
245,per_gpt,245,smooth,0.0,67.37474072779081
246,per_gpt,246,smooth,1.0,22.34651257201024
247,per_gpt,247,smooth,0.2,31.40118137278984
248,per_gpt,248,smooth,0.4,82.41045526026025
249,per_gpt,249,smooth,0.6,51.63747980386556
250,per_gpt,250,smooth,0.8,81.88086365113212
251,per_gpt,251,smooth,0.0,59.40390241942835
252,per_gpt,252,rough,1.0,90.00142972737675
253,per_gpt,253,smooth,0.2,30.77470881745205
254,per_gpt,254,smooth,0.4,85.54361531628761
255,per_gpt,255,smooth,0.6,69.00066864318434
256,per_gpt,256,smooth,0.8,40.40786545710087
257,per_gpt,257,smooth,0.0,63.66817919533075
258,per_gpt,258,smooth,1.0,90.57475937824314
259,per_gpt,259,smooth,0.2,72.22234828278364
260,per_gpt,260,smooth,0.4,31.727320210519768
261,per_gpt,261,smooth,0.6,46.27143309934375
262,per_gpt,262,smooth,0.8,37.482822888300284
263,per_gpt,263,smooth,0.0,57.77078710635644
264,per_gpt,264,smooth,1.0,66.42301881488282
265,per_gpt,265,smooth,0.2,55.025746638214784
266,per_gpt,266,smooth,0.4,53.430283633690166
267,per_gpt,267,smooth,0.6,79.06906672138349
268,per_gpt,268,smooth,0.8,69.16906837930733
269,per_gpt,269,smooth,0.0,30.755629469036798
270,per_gpt,270,rough,1.0,62.16805882968543
271,per_gpt,271,smooth,0.2,47.76623064480313
272,per_gpt,272,smooth,0.4,43.909194245441206
273,per_gpt,273,smooth,0.6,53.79121740053404
274,per_gpt,274,smooth,0.8,51.65147883182007
275,per_gpt,275,smooth,0.0,80.74437124724558
276,per_gpt,276,smooth,1.0,75.9697626179932
277,per_gpt,277,smooth,0.2,55.61586311223252
278,per_gpt,278,smooth,0.4,59.71589094561657
279,per_gpt,279,smooth,0.6,45.84509025241479
280,per_gpt,280,smooth,0.8,41.43001153213561
281,per_gpt,281,smooth,0.0,70.3106603528385
282,per_gpt,282,rough,1.0,79.37266039892917
283,per_gpt,283,smooth,0.2,72.02268731037769
284,per_gpt,284,smooth,0.4,46.2862789798191
285,per_gpt,285,smooth,0.6,75.63784351984249
286,per_gpt,286,smooth,0.8,35.10914883352169
287,per_gpt,287,smooth,0.0,63.70883210457182
288,per_gpt,288,rough,1.0,56.04715763570308
289,per_gpt,289,smooth,0.2,64.71127677531513
