,trials,x,z,horizons,environment,id
0,0,7,0.0645447613341522,10,rough,136
1,1,3,0.12608348071136655,10,rough,136
2,2,17,0.25404090248270655,10,rough,136
3,3,18,0.44932540306508345,10,rough,136
4,4,16,0.5691311997426599,10,rough,136
5,5,17,0.25404090248270655,10,rough,136
6,6,9,0.39359865604183186,10,rough,136
7,7,11,0.36550032495569307,10,rough,136
8,8,17,0.25404090248270655,10,rough,136
9,9,20,0.16065426442817898,10,rough,136
10,10,22,0.37765921513171863,10,rough,136
