,beta,tau,length
0,1.3337959515435844e-09,5.206170278107982,1.78688612931519
1,1.3337959515435844e-09,5.206170278107982,1.78688612931519
2,1.3337959515435844e-09,5.206170278107982,1.78688612931519
3,1.3337959515435844e-09,5.206170278107982,1.78688612931519
4,1.3337959515435844e-09,5.206170278107982,1.78688612931519
5,1.3337959515435844e-09,5.206170278107982,1.78688612931519
6,1.3337959515435844e-09,5.206170278107982,1.78688612931519
7,1.3337959515435844e-09,5.206170278107982,1.78688612931519
8,1.3337959515435844e-09,5.206170278107982,1.78688612931519
9,1.3337959515435844e-09,5.206170278107982,1.78688612931519
10,1.3337959515435844e-09,5.206170278107982,1.78688612931519
