,beta,tau,length
0,2.1844282938854238e-09,2.007249892313436,0.9557238941536257
1,2.1844282938854238e-09,2.007249892313436,0.9557238941536257
2,2.1844282938854238e-09,2.007249892313436,0.9557238941536257
3,2.1844282938854238e-09,2.007249892313436,0.9557238941536257
4,2.1844282938854238e-09,2.007249892313436,0.9557238941536257
5,2.1844282938854238e-09,2.007249892313436,0.9557238941536257
6,2.1844282938854238e-09,2.007249892313436,0.9557238941536257
7,2.1844282938854238e-09,2.007249892313436,0.9557238941536257
8,2.1844282938854238e-09,2.007249892313436,0.9557238941536257
9,2.1844282938854238e-09,2.007249892313436,0.9557238941536257
10,2.1844282938854238e-09,2.007249892313436,0.9557238941536257
