,tau,theta
0,0.0021258641058664487,0.002588732081562173
1,0.0021258641058664487,0.002588732081562173
2,0.0021258641058664487,0.002588732081562173
3,0.0021258641058664487,0.002588732081562173
4,0.0021258641058664487,0.002588732081562173
5,0.0021258641058664487,0.002588732081562173
6,0.0021258641058664487,0.002588732081562173
7,0.0021258641058664487,0.002588732081562173
8,0.0021258641058664487,0.002588732081562173
9,0.0021258641058664487,0.002588732081562173
10,0.0021258641058664487,0.002588732081562173
