,beta,tau,theta
0,9.999999999999664,9.999999999999957,9.93954543378427
1,9.999999999999664,9.999999999999957,9.93954543378427
2,9.999999999999664,9.999999999999957,9.93954543378427
3,9.999999999999664,9.999999999999957,9.93954543378427
4,9.999999999999664,9.999999999999957,9.93954543378427
5,9.999999999999664,9.999999999999957,9.93954543378427
6,9.999999999999664,9.999999999999957,9.93954543378427
7,9.999999999999664,9.999999999999957,9.93954543378427
8,9.999999999999664,9.999999999999957,9.93954543378427
9,9.999999999999664,9.999999999999957,9.93954543378427
10,9.999999999999664,9.999999999999957,9.93954543378427
