,beta,tau,theta
0,9.999999999999993,9.999999999999318,9.512735708091535
1,9.999999999999993,9.999999999999318,9.512735708091535
2,9.999999999999993,9.999999999999318,9.512735708091535
3,9.999999999999993,9.999999999999318,9.512735708091535
4,9.999999999999993,9.999999999999318,9.512735708091535
5,9.999999999999993,9.999999999999318,9.512735708091535
6,9.999999999999993,9.999999999999318,9.512735708091535
7,9.999999999999993,9.999999999999318,9.512735708091535
8,9.999999999999993,9.999999999999318,9.512735708091535
9,9.999999999999993,9.999999999999318,9.512735708091535
10,9.999999999999993,9.999999999999318,9.512735708091535
