,beta,tau,theta
0,0.14733848904156754,0.05158787767515004,2.035634571484694
1,0.14733848904156754,0.05158787767515004,2.035634571484694
2,0.14733848904156754,0.05158787767515004,2.035634571484694
3,0.14733848904156754,0.05158787767515004,2.035634571484694
4,0.14733848904156754,0.05158787767515004,2.035634571484694
5,0.14733848904156754,0.05158787767515004,2.035634571484694
6,0.14733848904156754,0.05158787767515004,2.035634571484694
7,0.14733848904156754,0.05158787767515004,2.035634571484694
8,0.14733848904156754,0.05158787767515004,2.035634571484694
9,0.14733848904156754,0.05158787767515004,2.035634571484694
10,0.14733848904156754,0.05158787767515004,2.035634571484694
