,beta,tau,theta
0,1.3046210889600507,0.009736769585231942,2.0276893544618875
1,1.3046210889600507,0.009736769585231942,2.0276893544618875
2,1.3046210889600507,0.009736769585231942,2.0276893544618875
3,1.3046210889600507,0.009736769585231942,2.0276893544618875
4,1.3046210889600507,0.009736769585231942,2.0276893544618875
5,1.3046210889600507,0.009736769585231942,2.0276893544618875
6,1.3046210889600507,0.009736769585231942,2.0276893544618875
7,1.3046210889600507,0.009736769585231942,2.0276893544618875
8,1.3046210889600507,0.009736769585231942,2.0276893544618875
9,1.3046210889600507,0.009736769585231942,2.0276893544618875
10,1.3046210889600507,0.009736769585231942,2.0276893544618875
