,beta,tau,length
0,6.328371240363393e-12,9.99999999685905,0.934337559402716
1,6.328371240363393e-12,9.99999999685905,0.934337559402716
2,6.328371240363393e-12,9.99999999685905,0.934337559402716
3,6.328371240363393e-12,9.99999999685905,0.934337559402716
4,6.328371240363393e-12,9.99999999685905,0.934337559402716
5,6.328371240363393e-12,9.99999999685905,0.934337559402716
6,6.328371240363393e-12,9.99999999685905,0.934337559402716
7,6.328371240363393e-12,9.99999999685905,0.934337559402716
8,6.328371240363393e-12,9.99999999685905,0.934337559402716
9,6.328371240363393e-12,9.99999999685905,0.934337559402716
10,6.328371240363393e-12,9.99999999685905,0.934337559402716
