,tau,length
0,0.002587622122835576,0.0003551713483780251
1,0.002587622122835576,0.0003551713483780251
2,0.002587622122835576,0.0003551713483780251
3,0.002587622122835576,0.0003551713483780251
4,0.002587622122835576,0.0003551713483780251
5,0.002587622122835576,0.0003551713483780251
6,0.002587622122835576,0.0003551713483780251
7,0.002587622122835576,0.0003551713483780251
8,0.002587622122835576,0.0003551713483780251
9,0.002587622122835576,0.0003551713483780251
10,0.002587622122835576,0.0003551713483780251
