,tau,theta
0,0.0034381114729665654,7.190296812406237e-08
1,0.0034381114729665654,7.190296812406237e-08
2,0.0034381114729665654,7.190296812406237e-08
3,0.0034381114729665654,7.190296812406237e-08
4,0.0034381114729665654,7.190296812406237e-08
5,0.0034381114729665654,7.190296812406237e-08
6,0.0034381114729665654,7.190296812406237e-08
7,0.0034381114729665654,7.190296812406237e-08
8,0.0034381114729665654,7.190296812406237e-08
9,0.0034381114729665654,7.190296812406237e-08
10,0.0034381114729665654,7.190296812406237e-08
