,beta,tau
0,2.8755575615628914e-15,0.013570170859770848
1,2.8755575615628914e-15,0.013570170859770848
2,2.8755575615628914e-15,0.013570170859770848
3,2.8755575615628914e-15,0.013570170859770848
4,2.8755575615628914e-15,0.013570170859770848
5,2.8755575615628914e-15,0.013570170859770848
6,2.8755575615628914e-15,0.013570170859770848
7,2.8755575615628914e-15,0.013570170859770848
8,2.8755575615628914e-15,0.013570170859770848
9,2.8755575615628914e-15,0.013570170859770848
10,2.8755575615628914e-15,0.013570170859770848
