,trials,x,z,horizons,environment,id
0,0,22,0.2323678397811582,10,rough,58
1,1,15,0.4103089002383267,10,rough,58
2,2,18,0.8179174035888768,10,rough,58
3,3,8,0.18232591955902747,10,rough,58
4,4,22,0.2323678397811582,10,rough,58
5,5,14,0.8002557402236996,10,rough,58
6,6,22,0.2323678397811582,10,rough,58
7,7,4,0.16944809262696914,10,rough,58
8,8,5,0.3137027734653435,10,rough,58
9,9,27,0.293347055914774,10,rough,58
10,10,2,0.7125645622989514,10,rough,58
