,AIC,BIC,Model,id,horizons,environment,t
0,18.97584735760404,18.58528527003814,WSLS,461,5,smooth,1.0
1,18.9758473083542,18.5852852207883,WSLS,461,5,rough,0.6
2,18.975847308568145,18.585285221002245,WSLS,461,5,rough,0.8
3,18.975847320897604,18.585285233331703,WSLS,461,5,rough,0.0
4,29.82489646593695,29.434334378371048,WSLS,461,5,rough,0.2
5,18.975847310160944,18.585285222595044,WSLS,461,5,rough,0.4
6,24.558768301008335,24.168206213442435,WSLS,461,5,rough,0.6
7,24.558768295220876,24.168206207654976,WSLS,461,5,rough,0.8
8,24.5587683068971,24.1682062193312,WSLS,461,5,rough,0.0
9,29.824896462393816,29.434334374827916,WSLS,461,5,rough,0.2
10,34.51916952479874,34.128607437232844,WSLS,461,5,rough,0.4
11,52.4750867618004,52.77767185479444,WSLS,461,10,rough,0.2
12,29.82489649578853,29.43433440822263,WSLS,461,5,rough,0.6
13,29.82489646643027,29.43433437886437,WSLS,461,5,rough,0.8
14,24.55876829882688,24.16820621126098,WSLS,461,5,rough,0.0
15,18.975847308438905,18.585285220873004,WSLS,461,5,rough,0.2
16,24.558768296736403,24.168206209170503,WSLS,461,5,rough,0.4
17,24.55876832580926,24.16820623824336,WSLS,461,5,rough,0.6
18,36.04530906361007,35.65474697604417,WSLS,461,5,rough,0.8
19,24.558768295751626,24.168206208185726,WSLS,461,5,rough,0.0
20,24.558768297381405,24.168206209815505,WSLS,461,5,rough,0.2
21,34.519169527132874,34.12860743956698,WSLS,461,5,rough,0.4
22,41.60758570728889,41.910170800282934,WSLS,461,10,rough,0.4
23,29.824896491831687,29.434334404265787,WSLS,461,5,rough,0.6
24,29.824896460605082,29.43433437303918,WSLS,461,5,rough,0.8
25,24.558768295631502,24.1682062080656,WSLS,461,5,rough,0.0
26,24.55876829522686,24.16820620766096,WSLS,461,5,rough,0.2
27,29.82489646806022,29.43433438049432,WSLS,461,5,rough,0.4
28,29.82489646089401,29.43433437332811,WSLS,461,5,rough,0.6
29,24.558768295294243,24.168206207728343,WSLS,461,5,rough,0.8
30,29.82489646062982,29.43433437306392,WSLS,461,5,rough,0.0
31,62.56898500536006,62.871570098354105,WSLS,461,10,smooth,1.0
32,24.55876830023115,24.16820621266525,WSLS,461,5,rough,0.2
33,57.64979292223505,57.952378015229094,WSLS,461,10,rough,0.0
34,24.558768298973455,24.168206211407554,WSLS,461,5,rough,0.4
35,29.82489646686709,29.43433437930119,WSLS,461,5,rough,0.6
36,29.82489646065399,29.434334373088088,WSLS,461,5,rough,0.8
37,27.545422325291593,27.154860237725693,WSLS,461,5,rough,0.0
