,AIC,BIC,Model,id,horizons,environment
0,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
1,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
2,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
3,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
4,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
5,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
6,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
7,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
8,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
9,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
10,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
11,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
12,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
13,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
14,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
15,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
16,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
17,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
18,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
19,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
20,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
21,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
22,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
23,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
24,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
25,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
26,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
27,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
28,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
29,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
30,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
31,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
32,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
33,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
34,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
35,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
36,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
37,41.60758571575571,41.910170808749754,WSLS,9,10,smooth
