,beta,tau,horizons,environment,id,t
0,0.1891974181698775,0.0164041095351065,5,smooth,0,1.0
1,1.3658720579052157,0.0181059095983688,5,rough,1,0.6
2,0.2480426936909225,0.0163244822261766,5,rough,2,0.8
3,0.9541298963567536,0.0120613963077837,5,rough,3,0.0
4,0.0382504601127759,0.0152241884166238,5,rough,4,0.2
5,0.0793220719919241,0.0159965583971783,5,rough,5,0.4
6,1e-16,0.0138558218669033,5,rough,6,0.6
7,1.461924095712626,0.0180703865414739,5,rough,7,0.8
8,0.1771843631881648,0.0165098161475952,5,rough,8,0.0
9,0.0382129843957841,0.0148495399824284,5,rough,9,0.2
10,1e-16,0.0135430696712941,5,rough,10,0.4
11,0.3153388004879105,0.0164122291897074,10,rough,11,0.2
12,1e-16,0.0134720961162599,5,rough,12,0.6
13,0.5346140701492198,0.0170038624128205,5,rough,13,0.8
14,1e-16,0.0137472536336237,5,rough,14,0.0
15,2.0334509418030957,0.0118511429769603,5,rough,15,0.2
16,0.0124382852028632,0.0140367924872626,5,rough,16,0.4
17,0.1258167338739003,0.0161071798116464,5,rough,17,0.6
18,6.551115123125783e-16,0.0129603210206703,5,rough,18,0.8
19,0.0630457411879776,0.0153850218755686,5,rough,19,0.0
20,2.8755575615628918e-15,0.0069674836126555,5,rough,20,0.2
21,1e-16,0.0137900335123481,5,rough,21,0.4
22,0.231518609413261,0.0030967418256384,10,rough,22,0.4
23,0.1536748787636805,0.0165931678389697,5,rough,23,0.6
24,0.2148413471091499,0.01644644840968,5,rough,24,0.8
25,0.1642647894483341,0.0159945206909357,5,rough,25,0.0
26,0.0208193389176765,0.0137767947769052,5,rough,26,0.2
27,6.551115123125783e-16,0.0132004875111264,5,rough,27,0.4
28,0.1769808563118886,0.0161962588981929,5,rough,28,0.6
29,6.551115123125783e-16,0.0115348045758812,5,rough,29,0.8
30,0.5213379953253151,0.0168656741945489,5,rough,30,0.0
31,0.1018265763887178,0.0153819594609384,10,smooth,31,1.0
32,0.1199341217568118,0.0157785566386082,5,rough,32,0.2
33,0.0728493445968881,0.0154793096823647,10,rough,33,0.0
34,0.081944481406025,0.0160687037864993,5,rough,34,0.4
35,0.2656369229840739,0.0163874550214128,5,rough,35,0.6
36,6.551115123125783e-16,0.0133433912742476,5,rough,36,0.8
37,0.0271525453886046,0.0149600474847362,5,rough,37,0.0
38,0.0889832043847555,0.0160183070566323,5,rough,38,0.2
39,0.1693094643440014,0.0161112297564231,5,rough,39,0.4
40,0.9849993635343086,0.017051403003528,5,rough,40,0.6
41,1e-16,0.0129360612456892,5,rough,41,0.8
42,0.6978481503404228,0.0071596047311085,5,rough,42,0.0
43,4.540892098500626e-15,0.0143045524472458,5,rough,43,0.2
44,0.1893079230308088,0.016168623895162,10,rough,44,0.2
45,3.985780586188048e-15,0.0129374827811097,5,rough,45,0.4
46,0.0299744554852361,0.0141525543819088,5,rough,46,0.6
47,1e-16,0.0138685481430212,5,rough,47,0.8
48,0.8085680525325191,0.0163552109931598,5,rough,48,0.0
49,0.0801805511723825,0.0137743691113629,5,rough,49,0.2
50,0.0443655877719984,0.0154470424432058,5,rough,50,0.4
51,0.0789769597039714,0.0158423935951924,5,rough,51,0.6
