Unnamed: 0,trials,x,z,horizons,environment,id
0,0,2,0.9246103388763344,5,smooth,0
1,1,3,0.8206200840533938,5,smooth,0
2,2,3,0.8206200840533938,5,smooth,0
3,3,2,0.9246103388763344,5,smooth,0
4,4,3,0.8206200840533938,5,smooth,0
5,5,2,0.9246103388763344,5,smooth,0
0,0,7,0.0645447613341522,5,rough,100
1,1,7,0.0645447613341522,5,rough,100
2,2,6,0.0624294832780476,5,rough,100
3,3,6,0.0624294832780476,5,rough,100
4,4,6,0.0624294832780476,5,rough,100
5,5,7,0.0645447613341522,5,rough,100
0,0,3,0.7905066427240656,10,rough,101
1,1,2,0.5970338241683012,10,rough,101
2,2,2,0.5970338241683012,10,rough,101
3,3,3,0.7905066427240656,10,rough,101
4,4,4,0.9257797919756222,10,rough,101
5,5,3,0.7905066427240656,10,rough,101
6,6,2,0.5970338241683012,10,rough,101
7,7,3,0.7905066427240656,10,rough,101
8,8,4,0.9257797919756222,10,rough,101
9,9,4,0.9257797919756222,10,rough,101
10,10,4,0.9257797919756222,10,rough,101
0,0,28,0.1393993941799556,10,smooth,102
1,1,29,0.3420832198960541,10,smooth,102
2,2,28,0.1393993941799556,10,smooth,102
3,3,29,0.3420832198960541,10,smooth,102
4,4,28,0.1393993941799556,10,smooth,102
5,5,27,0.1807182912238487,10,smooth,102
6,6,26,0.2964573863113293,10,smooth,102
7,7,25,0.2197189199239972,10,smooth,102
8,8,24,0.0566191767865794,10,smooth,102
9,9,23,0.28271857383708,10,smooth,102
10,10,23,0.28271857383708,10,smooth,102
0,0,21,0.1872925157919898,5,rough,103
1,1,22,0.1918006771076063,5,rough,103
2,2,22,0.1918006771076063,5,rough,103
3,3,22,0.1918006771076063,5,rough,103
4,4,21,0.1872925157919898,5,rough,103
5,5,20,0.2952536112595885,5,rough,103
0,0,20,0.0024997639562376,10,smooth,104
1,1,21,0.2705167737284299,10,smooth,104
2,2,21,0.2705167737284299,10,smooth,104
3,3,22,0.7486713131577437,10,smooth,104
4,4,23,0.965808389255045,10,smooth,104
5,5,24,0.7349329286411572,10,smooth,104
6,6,23,0.965808389255045,10,smooth,104
7,7,22,0.7486713131577437,10,smooth,104
8,8,23,0.965808389255045,10,smooth,104
9,9,22,0.7486713131577437,10,smooth,104
10,10,23,0.965808389255045,10,smooth,104
0,0,4,0.3324397984847563,10,rough,105
1,1,4,0.3324397984847563,10,rough,105
2,2,4,0.3324397984847563,10,rough,105
3,3,3,0.2171163452116083,10,rough,105
4,4,4,0.3324397984847563,10,rough,105
5,5,4,0.3324397984847563,10,rough,105
6,6,3,0.2171163452116083,10,rough,105
7,7,4,0.3324397984847563,10,rough,105
8,8,4,0.3324397984847563,10,rough,105
9,9,3,0.2171163452116083,10,rough,105
10,10,4,0.3324397984847563,10,rough,105
0,0,16,0.0004517669842351,10,smooth,106
1,1,15,0.3019693868706816,10,smooth,106
2,2,16,0.0004517669842351,10,smooth,106
3,3,17,0.0360493064443643,10,smooth,106
4,4,18,0.346309168484694,10,smooth,106
5,5,17,0.0360493064443643,10,smooth,106
6,6,17,0.0360493064443643,10,smooth,106
7,7,17,0.0360493064443643,10,smooth,106
8,8,17,0.0360493064443643,10,smooth,106
9,9,16,0.0004517669842351,10,smooth,106
10,10,17,0.0360493064443643,10,smooth,106
0,0,19,0.0,10,rough,107
1,1,18,0.4468017619100826,10,rough,107
2,2,17,0.690691896841164,10,rough,107
3,3,18,0.4468017619100826,10,rough,107
4,4,19,0.0,10,rough,107
5,5,18,0.4468017619100826,10,rough,107
6,6,17,0.690691896841164,10,rough,107
7,7,17,0.690691896841164,10,rough,107
8,8,17,0.690691896841164,10,rough,107
9,9,17,0.690691896841164,10,rough,107
10,10,17,0.690691896841164,10,rough,107
0,0,3,0.0,10,smooth,108
1,1,4,0.0900511428724781,10,smooth,108
2,2,4,0.0900511428724781,10,smooth,108
3,3,5,0.3467159446077598,10,smooth,108
4,4,6,0.6620576666663932,10,smooth,108
5,5,6,0.6620576666663932,10,smooth,108
6,6,5,0.3467159446077598,10,smooth,108
7,7,6,0.6620576666663932,10,smooth,108
8,8,7,0.9068470642522732,10,smooth,108
9,9,7,0.9068470642522732,10,smooth,108
10,10,7,0.9068470642522732,10,smooth,108
0,0,10,0.5888925165376502,10,smooth,109
1,1,11,0.4739762790231101,10,smooth,109
2,2,11,0.4739762790231101,10,smooth,109
3,3,12,0.5035496371463438,10,smooth,109
4,4,11,0.4739762790231101,10,smooth,109
5,5,11,0.4739762790231101,10,smooth,109
6,6,11,0.4739762790231101,10,smooth,109
7,7,11,0.4739762790231101,10,smooth,109
8,8,11,0.4739762790231101,10,smooth,109
9,9,12,0.5035496371463438,10,smooth,109
10,10,12,0.5035496371463438,10,smooth,109
0,0,2,0.6270149631982158,5,rough,10
1,1,1,0.7515699896880876,5,rough,10
2,2,2,0.6270149631982158,5,rough,10
3,3,1,0.7515699896880876,5,rough,10
4,4,2,0.6270149631982158,5,rough,10
5,5,3,0.4736593550193061,5,rough,10
0,0,19,0.5313973395210437,10,rough,110
1,1,19,0.5313973395210437,10,rough,110
2,2,18,0.3124981873292691,10,rough,110
3,3,17,0.3468972373153345,10,rough,110
4,4,16,0.493025203363188,10,rough,110
5,5,16,0.493025203363188,10,rough,110
6,6,16,0.493025203363188,10,rough,110
7,7,15,0.5614735743909508,10,rough,110
8,8,15,0.5614735743909508,10,rough,110
9,9,15,0.5614735743909508,10,rough,110
10,10,15,0.5614735743909508,10,rough,110
0,0,13,0.303211362265867,10,rough,111
1,1,12,0.521415600930469,10,rough,111
2,2,13,0.303211362265867,10,rough,111
3,3,13,0.303211362265867,10,rough,111
4,4,13,0.303211362265867,10,rough,111
5,5,14,0.2092814497667947,10,rough,111
6,6,15,0.6727279360336191,10,rough,111
7,7,15,0.6727279360336191,10,rough,111
8,8,14,0.2092814497667947,10,rough,111
9,9,14,0.2092814497667947,10,rough,111
10,10,15,0.6727279360336191,10,rough,111
0,0,6,0.6094969499764967,10,rough,112
1,1,6,0.6094969499764967,10,rough,112
2,2,7,0.8247745594555462,10,rough,112
3,3,7,0.8247745594555462,10,rough,112
4,4,6,0.6094969499764967,10,rough,112
5,5,6,0.6094969499764967,10,rough,112
6,6,6,0.6094969499764967,10,rough,112
7,7,7,0.8247745594555462,10,rough,112
8,8,8,0.9198959465213588,10,rough,112
9,9,9,0.6568443963484519,10,rough,112
10,10,8,0.9198959465213588,10,rough,112
0,0,16,0.382187717618609,10,rough,113
1,1,15,0.0733150834481632,10,rough,113
2,2,14,0.0,10,rough,113
3,3,14,0.0,10,rough,113
4,4,15,0.0733150834481632,10,rough,113
5,5,15,0.0733150834481632,10,rough,113
6,6,14,0.0,10,rough,113
7,7,13,0.394429334037108,10,rough,113
8,8,12,0.7987810078357164,10,rough,113
9,9,12,0.7987810078357164,10,rough,113
10,10,12,0.7987810078357164,10,rough,113
0,0,14,0.6098707450014589,10,rough,114
1,1,14,0.6098707450014589,10,rough,114
2,2,15,0.5113021142354829,10,rough,114
3,3,16,1.0,10,rough,114
4,4,15,0.5113021142354829,10,rough,114
5,5,15,0.5113021142354829,10,rough,114
6,6,14,0.6098707450014589,10,rough,114
7,7,14,0.6098707450014589,10,rough,114
8,8,13,0.8573016022569282,10,rough,114
9,9,13,0.8573016022569282,10,rough,114
10,10,13,0.8573016022569282,10,rough,114
0,0,29,0.4986221002663917,10,rough,115
1,1,28,0.3386783891328154,10,rough,115
2,2,27,0.5494743037533734,10,rough,115
3,3,26,0.2305512044995887,10,rough,115
4,4,26,0.2305512044995887,10,rough,115
5,5,26,0.2305512044995887,10,rough,115
6,6,27,0.5494743037533734,10,rough,115
7,7,27,0.5494743037533734,10,rough,115
8,8,28,0.3386783891328154,10,rough,115
9,9,29,0.4986221002663917,10,rough,115
10,10,29,0.4986221002663917,10,rough,115
0,0,27,0.5148563773448515,10,rough,116
1,1,27,0.5148563773448515,10,rough,116
2,2,26,0.3497707564649559,10,rough,116
3,3,26,0.3497707564649559,10,rough,116
4,4,26,0.3497707564649559,10,rough,116
5,5,27,0.5148563773448515,10,rough,116
6,6,26,0.3497707564649559,10,rough,116
7,7,26,0.3497707564649559,10,rough,116
8,8,25,0.4088361096806592,10,rough,116
9,9,24,0.2281243042127334,10,rough,116
10,10,25,0.4088361096806592,10,rough,116
0,0,0,0.1288077168428515,10,rough,117
1,1,1,0.7943865271211237,10,rough,117
2,2,2,0.9715097066051628,10,rough,117
3,3,2,0.9715097066051628,10,rough,117
4,4,3,0.8604519538022272,10,rough,117
5,5,3,0.8604519538022272,10,rough,117
6,6,4,0.5340721961438706,10,rough,117
7,7,3,0.8604519538022272,10,rough,117
8,8,4,0.5340721961438706,10,rough,117
9,9,4,0.5340721961438706,10,rough,117
10,10,4,0.5340721961438706,10,rough,117
0,0,28,0.1042331415032915,10,rough,118
1,1,27,0.5502873747193335,10,rough,118
2,2,28,0.1042331415032915,10,rough,118
3,3,29,0.3160131356517615,10,rough,118
4,4,29,0.3160131356517615,10,rough,118
5,5,29,0.3160131356517615,10,rough,118
6,6,29,0.3160131356517615,10,rough,118
7,7,29,0.3160131356517615,10,rough,118
8,8,29,0.3160131356517615,10,rough,118
9,9,29,0.3160131356517615,10,rough,118
10,10,29,0.3160131356517615,10,rough,118
0,0,14,0.5133619752290635,10,rough,119
1,1,13,0.4285533298081983,10,rough,119
2,2,13,0.4285533298081983,10,rough,119
3,3,12,0.7856241331318052,10,rough,119
4,4,12,0.7856241331318052,10,rough,119
5,5,12,0.7856241331318052,10,rough,119
6,6,12,0.7856241331318052,10,rough,119
7,7,11,0.8205932079295116,10,rough,119
8,8,10,0.5861022044517238,10,rough,119
9,9,11,0.8205932079295116,10,rough,119
10,10,12,0.7856241331318052,10,rough,119
0,0,25,0.5948990474360132,10,rough,11
1,1,26,0.56315676766431,10,rough,11
2,2,25,0.5948990474360132,10,rough,11
3,3,25,0.5948990474360132,10,rough,11
4,4,26,0.56315676766431,10,rough,11
5,5,26,0.56315676766431,10,rough,11
6,6,25,0.5948990474360132,10,rough,11
7,7,25,0.5948990474360132,10,rough,11
8,8,25,0.5948990474360132,10,rough,11
